semester,code,name,requirement,duration
1,ENC-2,Fund. da Matemática,,68
1,ENC-5,Desenho Técnico,,34
1,ENC-3,VGA,,68
1,ENC-4,Química Geral,,34
1,ENC-1,Introdução à Eng. da Computação,,34
1,ENC-6,Algoritmos I,,68
1,ENC-7,Economia,,34
2,ENC-9,Física I,ENC-2,68
2,ENC-8,Cálculo I,ENC-2,68
2,ENC-10,Álgebra Linear,ENC-3,68
2,ENC-11,Met. Científica,,34
2,ENC-12,Arq. de computadores,ENC-1,68
2,ENC-13,Algoritmos II,ENC-6,68
2,ENC-14,Ciências do Ambiente,,34
3,ENC-16,Física II,ENC-9,68
3,ENC-15,Cálculo II,ENC-8,68
3,ENC-17,Elet. Digital,ENC-2,68
3,ENC-18,Extensão I,,68
3,ENC-19,Sistemas Operacionais,ENC-12,34
3,ENC-20,Estruturas de Dados,ENC-13,68
3,ENC-21,Prob. e Estatística,ENC-8,34
4,ENC-23,Física III,ENC-16,68
4,ENC-22,Eq. Diferenciais,ENC-15,68
4,ENC-28,Comunicação de Dados,ENC-17,68
4,ENC-24,Cálculo Numérico,ENC-8,68
4,ENC-27,Mat. Discreta e Grafos,ENC-13,34
4,ENC-26,POO,ENC-20,68
4,ENC-25,BD,ENC-20,68
5,ENC-31,Circ. Elétricos I,ENC-17; ENC-23,68
5,ENC-32,Lab. de Circ. Elétricos I,ENC-17; ENC-23,34
5,ENC-29,Compiladores,ENC-12; ENC-26; ENC-27,68
5,ENC-35,Ética,,34
5,ENC-33,Proc. Paralelo e Sist. Dist.,ENC-12,68
5,ENC-34,Eng. de software,ENC-26,68
5,ENC-30,Programação Web,ENC-26,68
6,ENC-37,Circ. Elétricos II,ENC-31,68
6,ENC-38,Lab. de Circ. Elétricos II,ENC-31,34
6,ENC-36,Elet. analógica I,ENC-23,68
6,ENC-39,Sinais e Sist. Lin.,ENC-22; ENC-31,68
6,ENC-41,IA,ENC-21,68
6,ENC-40,Análise e Projeto de Sist. Comp.,ENC-34,68
6,ENC-42,Redes,ENC-28,68
7,ENC-43,Microcontroladores,ENC-37,68
7,ENC-44,Elet. analógica II,ENC-29,68
7,ENC-45,Controle de Sist. Contínuos I,ENC-39,68
7,ENC-46,Segurança do Trabalho,,34
7,ENC-47,Mineração de dados ,ENC-41,68
7,ENC-48,Extensão II,ENC-40,68
7,ENC-49,Seg. de Sist. de Comp.,ENC-42,34
8,ENC-50,Sistemas Embarcados,ENC-43,68
8,ENC-51,PDS,ENC-39,34
8,ENC-54,Administração,,34
8,ENC-53,Disciplina Eletiva,,34
8,ENC-52,Projeto de Sist. Int.,ENC-47,68
8,ENC-55,TCC,ENC-48,34
